捕捉日期,捕捉地點,品種,性別,體型,捕捉來源,備註,晶片號碼,照片
2015-06-05,芳安街,臘腸,母,小型,政府捕捉,1040605-2,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605175102-1.jpg
2015-06-05,遼寧二街,混種犬,母,中型,政府捕捉,1040605-1,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605174920-1.jpg
2015-06-04,長榮派出所,瑪爾濟斯,母,小型,民眾捨獲,1040604-2 (晶片:158097004256323),158097004256323,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605174834-1.jpg
2015-06-04,大業國中,混種貓,母,小型,政府捕捉,1040604-1,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605174004-1.jpg
2015-06-03,棄養,混種犬,公,中型,政府捕捉,1040603-5,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605173923-1.jpg
2015-06-05,芳安街,臘腸,母,小型,政府捕捉,1040605-2,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605175102-1.jpg
2015-06-05,遼寧二街,混種犬,母,中型,政府捕捉,1040605-1,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605174920-1.jpg
2015-06-04,長榮派出所,瑪爾濟斯,母,小型,民眾捨獲,1040604-2 (晶片:158097004256323),158097004256323,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605174834-1.jpg
2015-06-04,大業國中,混種貓,母,小型,政府捕捉,1040604-1,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605174004-1.jpg
2015-06-03,棄養,混種犬,公,中型,政府捕捉,1040603-5,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605173923-1.jpg
2015-06-03,嘉義後火車站,混種貓,母,小型,政府捕捉,1040603-4,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605173843-1.jpg
2015-06-03,嘉義後火車站,混種貓,母,小型,政府捕捉,1040603-3,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605173808-1.jpg
2015-06-03,嘉義後火車站,混種貓,母,小型,政府捕捉,1040603-2,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605173652-1.jpg
2015-06-03,嘉義後火車站,混種犬,母,小型,政府捕捉,1040603-1,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605173558-1.jpg
2015-06-02,棄養,混種犬,母,中型,飼主送交,1040602-3,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605172242-1.jpg
2015-06-02,棄養,混種犬,公,中型,政府捕捉,1040602-2,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605172133-1.jpg
2015-06-02,勞工育樂中心,混種貓,母,中型,政府捕捉,1040602-1,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605171933-1.jpg
2015-06-01,吳鳳南路,混種犬,母,小型,飼主送交,1040601-2,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605170204-1.jpg
2015-06-01,高鐵大道,瑪爾濟斯,公,小型,民眾捨獲,1040601-1,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605170127-1.jpg
2015-05-29,東義路,混種犬,公,小型,政府捕捉,1040529-13,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605165922-1.jpg
2015-05-29,東義路,混種犬,公,小型,政府捕捉,1040529-12,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605165804-1.jpg
2015-05-29,東義路,混種犬,公,小型,政府捕捉,1040529-11,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605165621-1.jpg
2015-05-29,盧厝,混種犬,母,中型,政府捕捉,1040529-10,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605165453-1.jpg
2015-05-29,博愛公園,混種犬,母,小型,政府捕捉,1040529-9,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605164937-1.jpg
2015-05-27,博愛公園,混種犬,公,小型,政府捕捉,1040529-8,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605164902-1.jpg
2015-05-27,博愛公園,混種犬,公,小型,政府捕捉,1040527-7,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605164742-1.jpg
2015-05-29,博愛公園,混種犬,公,小型,政府捕捉,1040529-6,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605164635-1.jpg
2015-05-29,博愛公園,混種犬,公,小型,政府捕捉,1040529-5,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605164345-1.jpg
2015-05-29,博愛公園,混種犬,母,小型,政府捕捉,1040529-4,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605164115-1.jpg
2015-05-29,博愛公園,混種犬,母,小型,政府捕捉,1040529-3,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605163935-1.jpg
2015-05-29,博愛公園,混種犬,公,小型,政府捕捉,1040529-2,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605163851-1.jpg
2015-05-29,博愛公園,混種犬,母,大型,政府捕捉,1040529-1,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605163632-1.jpg
2015-05-28,文化路,混種犬,母,小型,政府捕捉,1040528-2,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605163407-1.jpg
2015-05-28,民生南路,混種貓,公,小型,政府捕捉,1040528-1,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605163250-1.jpg
2015-05-27,學府路,混種犬,公,小型,政府捕捉,1040527-1,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605162935-1.jpg
2015-05-27,棄養,混種犬,公,小型,政府捕捉,1040526-7 (晶片:900182000711917),900182000711917,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605162651-1.jpg
2015-05-26,僑平國小,混種貓,母,小型,飼主送交,1040526-6,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605162550-1.jpg
2015-05-26,僑平國小,混種貓,母,小型,政府捕捉,1040526-5,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605160941-1.jpg
2015-05-26,僑平國小,混種貓,母,小型,政府捕捉,1040526-4,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605155222-1.jpg
2015-05-26,自由路,混種貓,母,小型,政府捕捉,1040526-3,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605155140-1.jpg
2015-05-26,自由路,混種犬,母,小型,政府捕捉,1040526-2,900182000711917,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605154914-1.jpg
2015-05-26,自由路,混種貓,母,小型,政府捕捉,1040526-1,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605154815-1.jpg
2015-05-25,文化公園,混種貓,母,小型,民眾捨獲,1040525-9,無資料,http://www.dog.dias.com.tw/upload/bigphoto/announcement20150605154703-1.jpg
